no;provinsi;0bln;0-5bln;6-11bln;12-23bln;24-35bln;36-47bln;48-59bln;asi_eksklusif;kalori;protein;air_bekas;gizi_kurang;umur_kehamilan;;;;;;;;;;;
1;Aceh;4,77;17,96;23,08;34,63;38,71;37,83;31,79;66,66;2171,129;63,021;3,266;5,6;22,23;;;;;;;;;;;
2;Sumatera Utara;10,98;9,66;14,58;28,2;31,15;29,46;26,29;57,83;2149,232;63,263;6,475;1,8;22,72;;;;;;;;;;;
3;Sumatera Barat;17,31;8,93;14,58;25,99;25,31;25,21;27,4;74,16;2135,299;58,387;4,035;5,2;22,5;;;;;;;;;;;
4;Riau;19,87;10,99;9,16;25,63;27,17;23,19;23,71;70,29;2079,526;58,037;2,841;3,6;21,97;;;;;;;;;;;
5;Jambi;8,03;12,12;13,59;22,63;27,01;27,12;21,77;71,37;2140,541;60,006;5,084;1,9;21,09;;;;;;;;;;;
6;Sumatera Selatan;12,27;12,47;12,45;28,63;28,74;27,14;26,6;69,93;2232,108;63,618;3,442;1,8;21,16;;;;;;;;;;;
7;Bengkulu;0;5,94;7,68;23,1;29,6;26,39;22,79;67,08;2124,594;58,904;1,931;1,1;21,04;;;;;;;;;;;
8;Lampung;0;8,14;8,55;19,17;21,32;22,26;19,57;74,93;2097,215;57,653;4,650;2,7;21,16;;;;;;;;;;;
9;Kepulauan Bangka Belitung;22,3;15,42;16,95;22,4;21,39;15,01;17,08;62,94;2111,515;64,632;5,001;1,5;20,95;;;;;;;;;;;
10;Kepulauan Riau;16,37;4,72;9,76;25,22;20,03;18,75;13,44;58,84;2149,336;70,307;12,935;3,4;23,39;;;;;;;;;;;
11;DKI Jakarta;7,67;7,61;14,19;19,53;20,77;16,06;14,1;65,63;2223,321;70,509;5,620;2,2;23,29;;;;;;;;;;;
12;Jawa Barat;14,77;10,66;10,9;27,7;31,08;26,97;23,7;76,46;2213,984;64,793;4,713;3,6;21,13;;;;;;;;;;;
13;Jawa Tengah;6,37;11,19;12,66;22,43;25,61;21,7;19,87;78,93;2072,280;59,285;3,420;5,3;21,4;;;;;;;;;;;
14;DI. Yogyakarta;35,19;8,33;8,86;20,25;18,36;17,88;18,68;77;2143,981;65,248;9,289;5;23,02;;;;;;;;;;;
15;Jawa Timur;44,66;11,22;13,46;26,72;26,47;24,97;24,12;69,61;2111,800;60,682;5,799;5,8;21,48;;;;;;;;;;;
16;Banten;6,77;14,55;11,74;31,29;28,85;25,04;21,63;71,17;2259,077;66,690;2,566;4,3;21,62;;;;;;;;;;;
17;Bali;5,02;7,51;5,14;12,09;13,01;12,22;10,68;68,51;2196,809;62,838;13,058;1,5;22,43;;;;;;;;;;;
18;Nusa Tenggara Barat;9,24;9,42;18,56;30,44;43,93;33,14;35,03;81,46;2542,975;76,788;4,944;5;21,12;;;;;;;;;;;
19;Kalimantan Barat;31,47;16,06;25,38;36,31;47,58;42,48;39,91;71,21;1941,398;56,999;5,437;4,3;21,1;;;;;;;;;;;
20;Kalimantan Tengah;0;14,46;17,94;29,38;29,61;31,15;30,18;55,98;2194,453;63,952;5,326;5,1;20,64;;;;;;;;;;;
21;Kalimantan Selatan;0;16,97;14,87;37,03;35,68;32,78;27,73;60,27;2295,985;69,344;2,529;5,3;20,87;;;;;;;;;;;
22;Kalimantan Timur;16,82;15,77;15,23;27,81;24,28;22,73;22,33;75,87;1981,642;61,295;7,561;6,2;21,7;;;;;;;;;;;
23;Kalimantan Utara;0;18,5;21,63;33,69;28,4;30,93;22,45;81;2023,442;64,883;11,121;4,3;21,84;;;;;;;;;;;
24;Sulawesi Utara;23,37;18;11,27;26,9;23,88;23,26;17,36;61,09;2109,127;63,393;9,039;1,9;21,61;;;;;;;;;;;
25;Sulawesi Tengah;0;13,58;18,54;30,97;36,48;34,72;30,13;65,93;2008,553;56,300;2,289;5,2;21,15;;;;;;;;;;;
26;Sulawesi Selatan;2,49;7,9;17,31;28,58;30,62;35,61;29,48;76,43;2144,644;63,240;6,280;1,8;22,07;;;;;;;;;;;
27;Sulawesi Tenggara;0;14,83;21,62;34,33;31,91;35,39;30,11;62,54;2046,286;60,921;3,731;3,2;21,09;;;;;;;;;;;
28;Gorontalo;0;17,21;18,25;31,28;32,45;31,34;29,62;52,75;2009,236;57,323;5,665;4;21,02;;;;;;;;;;;
29;Sulawesi Barat;16,16;14,3;21,7;36,95;37,75;40,65;34,69;74,75;2098,410;58,488;5,201;4,2;20,95;;;;;;;;;;;
30;Maluku;27,03;15,62;16,09;33,14;30,93;30,95;30,75;61,32;1874,880;53,449;10,829;4,7;22,67;;;;;;;;;;;
31;Maluku Utara;5,75;12,32;21,31;33,77;33,25;26,87;26,56;66;1862,150;51,593;2,755;4,9;21,4;;;;;;;;;;;
32;Papua Barat;18,04;14,63;15,19;30,65;32,58;27,37;25,01;58,77;1911,037;54,824;5,764;8,2;21,76;;;;;;;;;;;
33;Papua;10,33;16,8;20,8;31,1;30,49;33,59;35,86;74,08;1879,708;44,942;8,225;5,6;21,5;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
